index,text,text_snippet,ground_truth_signal,finbert_signal,our_signal,finbert_sentiment,finbert_confidence,our_confidence,our_prediction,our_volatility,our_score,our_explanation,case_type
26,We expect this to become a major new category with exciting growth opportunities.Over 40 top creative design applications are being accelerated with RTX GPUs.,We expect this to become a major new category with exciting growth opportunities.Over 40 top creative design applications are being accelerated with RTX GPUs.,growth,growth,neutral,positive,75.8955,100.0,UP,LOW,44,"Signal=neutral, dominant_intent=EXPANSION, counts={'EXPANSION': 1}, first_segment=(CEO) We expect this to become a major new category with exciting growth opportunities. Over 40 top creative design applications are ...",finbert_correct_ours_wrong
27,"But we know we also need to continue to focus on generating further operational efficiency.In addition to the €2 billion of efficiency measures we announced in March 2022, which James will provide an update on later, we will focus our efforts on generating further incremental cost savings.","But we know we also need to continue to focus on generating further operational efficiency.In addition to the €2 billion of efficiency measures we announced in March 2022, which...",risk,growth,neutral,positive,88.2329,100.0,NEUTRAL,LOW,48,"Signal=neutral, dominant_intent=COST_PRESSURE, counts={'COST_PRESSURE': 1}, first_segment=(CFO) But we know we also need to continue to focus on generating further operational efficiency. In addition to the €2 billion of ef...",disagreement_other
30,"Internationally, we also made major advances.","Internationally, we also made major advances.",neutral,growth,neutral,positive,92.0095,100.0,NEUTRAL,LOW,45,"Signal=neutral, dominant_intent=GENERAL_UPDATE, counts={'GENERAL_UPDATE': 1}, first_segment=(EXECUTIVE) Internationally, we also made major advances.",ours_correct_finbert_wrong
31,"Our customers tell us we are focused on what their employees value most: lower cost, simpler experiences and adaptable benefits.Consumer NPS for these new innovative products is some 20-plus points higher than traditional health plans.","Our customers tell us we are focused on what their employees value most: lower cost, simpler experiences and adaptable benefits.Consumer NPS for these new innovative products is...",risk,growth,neutral,positive,75.128,50.0,VOLATILE,HIGH,47,"Signal=neutral, dominant_intent=COST_PRESSURE, counts={'COST_PRESSURE': 1, 'EXPANSION': 1}, first_segment=(ANALYST) Our customers tell us we are focused on what their employees value most: lower cost, simpler experiences and adaptable benefits.",disagreement_other
32,It's greatly increased the number of same-day orders that can be processed at a certain time.,It's greatly increased the number of same-day orders that can be processed at a certain time.,growth,growth,neutral,positive,93.41,100.0,UP,LOW,44,"Signal=neutral, dominant_intent=EXPANSION, counts={'EXPANSION': 1}, first_segment=(EXECUTIVE) It's greatly increased the number of same-day orders that can be processed at a certain time.",finbert_correct_ours_wrong
34,"Continued strength in Adobe Stock, which had its best year ever, driven by accelerating demand for high-quality image, vector, video and 3D content.Creative Cloud, Express and Firefly integrations with Adobe GenStudio, enabling ideation, creation and stakeholder collaboration as part of their overall content supply chain.","Continued strength in Adobe Stock, which had its best year ever, driven by accelerating demand for high-quality image, vector, video and 3D content.Creative Cloud, Express and F...",growth,growth,neutral,positive,84.2214,50.0,UP,MEDIUM,44,"Signal=neutral, dominant_intent=EXPANSION, counts={'EXPANSION': 1, 'GENERAL_UPDATE': 1}, first_segment=(EXECUTIVE) Continued strength in Adobe Stock, which had its best year ever, driven by accelerating demand for high-quality image, vector, ...",finbert_correct_ours_wrong
35,And I think what you’ll notice is that there is almost always historically an increase in the underlying loss ratio in the fourth quarter typically due to bad weather patterns that we see in fourth quarter and first quarter.,And I think what you’ll notice is that there is almost always historically an increase in the underlying loss ratio in the fourth quarter typically due to bad weather patterns t...,growth,risk,neutral,negative,80.7431,100.0,UP,LOW,44,"Signal=neutral, dominant_intent=EXPANSION, counts={'EXPANSION': 1}, first_segment=(ANALYST) And I think what you’ll notice is that there is almost always historically an increase in the underlying loss ratio in the four...",disagreement_other
36,"Additionally, we improved the financial performance in our Individual business as a result of the strategic actions that were taken in 2017, and our results also include the timing benefit from the retroactive revenue adjustments in our Medicaid business.Our continued focus on deploying effective medical cost of care initiatives across the enterprise is bearing fruit as evidenced by our gross margin results in the quarter.","Additionally, we improved the financial performance in our Individual business as a result of the strategic actions that were taken in 2017, and our results also include the tim...",risk,growth,neutral,positive,95.7676,50.0,VOLATILE,HIGH,47,"Signal=neutral, dominant_intent=EXPANSION, counts={'EXPANSION': 1, 'COST_PRESSURE': 1}, first_segment=(CEO) Additionally, we improved the financial performance in our Individual business as a result of the strategic actions that were t...",disagreement_other
37,"In commercial, we continue to see strong growth.","In commercial, we continue to see strong growth.",growth,growth,neutral,positive,95.0039,100.0,UP,LOW,44,"Signal=neutral, dominant_intent=EXPANSION, counts={'EXPANSION': 1}, first_segment=(CEO) In commercial, we continue to see strong growth.",finbert_correct_ours_wrong
39,You want some of these expenses to go up because that means that good revenues are going up.,You want some of these expenses to go up because that means that good revenues are going up.,risk,growth,neutral,positive,90.9259,100.0,NEUTRAL,LOW,48,"Signal=neutral, dominant_intent=COST_PRESSURE, counts={'COST_PRESSURE': 1}, first_segment=(CFO) You want some of these expenses to go up because that means that good revenues are going up.",disagreement_other
40,"The average cost of gross debt was 2.8%, up 10 basis points compared with December 2019.","The average cost of gross debt was 2.8%, up 10 basis points compared with December 2019.",risk,growth,neutral,positive,95.571,100.0,NEUTRAL,LOW,48,"Signal=neutral, dominant_intent=COST_PRESSURE, counts={'COST_PRESSURE': 1}, first_segment=(CFO) The average cost of gross debt was 2. 8%, up 10 basis points compared with December 2019.",disagreement_other
42,"And could you also just tell us which sort of industries and parts of the corporate book is under most stressed under this scenario?And then secondly, on the group targets, you've obviously revised higher the cost income ratio, but you've managed to also maintain the RFP target.","And could you also just tell us which sort of industries and parts of the corporate book is under most stressed under this scenario?And then secondly, on the group targets, you'...",risk,growth,neutral,positive,87.366,100.0,NEUTRAL,LOW,49,"Signal=neutral, dominant_intent=STRATEGIC_PROBING, counts={'STRATEGIC_PROBING': 1, 'COST_PRESSURE': 1}, first_segment=(ANALYST) And could you also just tell us which sort of industries and parts of the corporate book is under most stressed under this scen...",disagreement_other
43,"In the first quarter of 2024, we have executed on our strategy to deliver revenue growth and cash generation.","In the first quarter of 2024, we have executed on our strategy to deliver revenue growth and cash generation.",growth,growth,neutral,positive,92.3359,100.0,UP,LOW,44,"Signal=neutral, dominant_intent=EXPANSION, counts={'EXPANSION': 1}, first_segment=(CEO) In the first quarter of 2024, we have executed on our strategy to deliver revenue growth and cash generation.",finbert_correct_ours_wrong
46,"Starting at the bottom, we have the marketing and business development line, which has two components, our traditional marketing and promotion expenses, as well as payments we make to certain partners, primarily corporate clients, GNS partner banks and co-brand partners.This lending total is up 14% versus the prior year, and there are three things that I would highlight.","Starting at the bottom, we have the marketing and business development line, which has two components, our traditional marketing and promotion expenses, as well as payments we m...",risk,growth,neutral,positive,86.5633,50.0,NEUTRAL,MEDIUM,48,"Signal=neutral, dominant_intent=COST_PRESSURE, counts={'COST_PRESSURE': 1, 'GENERAL_UPDATE': 1}, first_segment=(CFO) Starting at the bottom, we have the marketing and business development line, which has two components, our traditional marketin...",disagreement_other
47,There is still solid demand.,There is still solid demand.,growth,growth,neutral,positive,92.6509,100.0,NEUTRAL,LOW,45,"Signal=neutral, dominant_intent=GENERAL_UPDATE, counts={'GENERAL_UPDATE': 1}, first_segment=(EXECUTIVE) There is still solid demand.",finbert_correct_ours_wrong
49,"We're still working on our strategy to exercise, but I'd like just to share our and my commitment to keep reducing our cost base.And lastly, just share some initiatives that we have to increase our revenues.","We're still working on our strategy to exercise, but I'd like just to share our and my commitment to keep reducing our cost base.And lastly, just share some initiatives that we ...",growth,growth,neutral,positive,76.4909,50.0,VOLATILE,HIGH,47,"Signal=neutral, dominant_intent=COST_PRESSURE, counts={'COST_PRESSURE': 1, 'EXPANSION': 1}, first_segment=(CFO) We're still working on our strategy to exercise, but I'd like just to share our and my commitment to keep reducing our cost base.",finbert_correct_ours_wrong
50,"Focus is ongoing, on one hand side, on reducing complexity in our portfolio, lowering manufacturing costs.","Focus is ongoing, on one hand side, on reducing complexity in our portfolio, lowering manufacturing costs.",risk,growth,neutral,positive,85.0732,100.0,NEUTRAL,LOW,48,"Signal=neutral, dominant_intent=COST_PRESSURE, counts={'COST_PRESSURE': 1}, first_segment=(CFO) Focus is ongoing, on one hand side, on reducing complexity in our portfolio, lowering manufacturing costs.",disagreement_other
52,"Other revenues declined due to lower mark-to-market valuations of co-investments, partly offset by favorable outcome of deferred compensation hedges.Noninterest expenses and adjusted costs were both 8% lower than the prior year.","Other revenues declined due to lower mark-to-market valuations of co-investments, partly offset by favorable outcome of deferred compensation hedges.Noninterest expenses and adj...",risk,risk,neutral,negative,96.7456,100.0,NEUTRAL,LOW,51,"Signal=neutral, dominant_intent=COST_PRESSURE, counts={'COST_PRESSURE': 2}, first_segment=(CEO) Other revenues declined due to lower mark-to-market valuations of co-investments, partly offset by favorable outcome of deferre...",finbert_correct_ours_wrong
53,"While we earned China equity income of $138 million, this was more than offset by engineering costs incurred by Ford for future products, including for newly localized entries, including Lincoln and next-generation Explorer, as well as a loss for Lincoln as we continue to establish and grow the brand and the network.The China loss was offset partially by a profit in the rest of Asia-Pacific.","While we earned China equity income of $138 million, this was more than offset by engineering costs incurred by Ford for future products, including for newly localized entries, ...",risk,risk,neutral,negative,62.4122,50.0,NEUTRAL,MEDIUM,48,"Signal=neutral, dominant_intent=COST_PRESSURE, counts={'COST_PRESSURE': 1, 'GENERAL_UPDATE': 1}, first_segment=(CFO) While we earned China equity income of $138 million, this was more than offset by engineering costs incurred by Ford for future...",finbert_correct_ours_wrong
57,"Earnings Call AnalysisQ3-2023 AnalysisDeutsche Bank AGCompany Doubles Profit, Revenue FlatThe company's profit before tax doubled year-on-year to EUR 805 million, with a cost-income ratio of 57%.","Earnings Call AnalysisQ3-2023 AnalysisDeutsche Bank AGCompany Doubles Profit, Revenue FlatThe company's profit before tax doubled year-on-year to EUR 805 million, with a cost-in...",risk,growth,neutral,positive,95.3566,100.0,NEUTRAL,LOW,48,"Signal=neutral, dominant_intent=COST_PRESSURE, counts={'COST_PRESSURE': 1}, first_segment=(CFO) Earnings Call AnalysisQ3-2023 AnalysisDeutsche Bank AGCompany Doubles Profit, Revenue FlatThe company's profit before tax doubl...",disagreement_other
58,"In this environment, the demand for our products continues to be strong as our solutions are mission-critical to customers in a world where digital content and engagement drive the global economy.","In this environment, the demand for our products continues to be strong as our solutions are mission-critical to customers in a world where digital content and engagement drive ...",growth,growth,neutral,positive,89.4804,100.0,UP,LOW,44,"Signal=neutral, dominant_intent=EXPANSION, counts={'EXPANSION': 1}, first_segment=(EXECUTIVE) In this environment, the demand for our products continues to be strong as our solutions are mission-critical to customers in a...",finbert_correct_ours_wrong
63,"All in all, strong growth in gross income of 10% versus the same period last year.","All in all, strong growth in gross income of 10% versus the same period last year.",growth,growth,neutral,positive,95.5117,100.0,UP,LOW,44,"Signal=neutral, dominant_intent=EXPANSION, counts={'EXPANSION': 1}, first_segment=(CEO) All in all, strong growth in gross income of 10% versus the same period last year.",finbert_correct_ours_wrong
64,It throws off a small yield.,It throws off a small yield.,neutral,risk,neutral,negative,79.5335,100.0,NEUTRAL,LOW,45,"Signal=neutral, dominant_intent=GENERAL_UPDATE, counts={'GENERAL_UPDATE': 1}, first_segment=(EXECUTIVE) It throws off a small yield.",ours_correct_finbert_wrong
65,"On a three-year CAGR basis, total revenue increased 27%.","On a three-year CAGR basis, total revenue increased 27%.",growth,growth,neutral,positive,95.6868,100.0,UP,LOW,44,"Signal=neutral, dominant_intent=EXPANSION, counts={'EXPANSION': 1}, first_segment=(CEO) On a three-year CAGR basis, total revenue increased 27%.",finbert_correct_ours_wrong
67,"But in reality for the mobility solution and such, our things are bringing real customer value to the customer, the customer's customers and the value potential is so big.","But in reality for the mobility solution and such, our things are bringing real customer value to the customer, the customer's customers and the value potential is so big.",neutral,growth,neutral,positive,50.5254,100.0,NEUTRAL,LOW,45,"Signal=neutral, dominant_intent=GENERAL_UPDATE, counts={'GENERAL_UPDATE': 1}, first_segment=(EXECUTIVE) But in reality for the mobility solution and such, our things are bringing real customer value to the customer, the customer's ...",ours_correct_finbert_wrong
68,It will be a double-digit grower.,It will be a double-digit grower.,neutral,growth,neutral,positive,61.3372,100.0,NEUTRAL,LOW,45,"Signal=neutral, dominant_intent=GENERAL_UPDATE, counts={'GENERAL_UPDATE': 1}, first_segment=(EXECUTIVE) It will be a double-digit grower.",ours_correct_finbert_wrong
70,"The talent base, the customer franchise that we have there, the deposit -- the low-cost deposit base that we have in the country, it's all a great testament to the strength of our franchise in Turkey.","The talent base, the customer franchise that we have there, the deposit -- the low-cost deposit base that we have in the country, it's all a great testament to the strength of o...",risk,growth,neutral,positive,78.3636,100.0,NEUTRAL,LOW,48,"Signal=neutral, dominant_intent=COST_PRESSURE, counts={'COST_PRESSURE': 1}, first_segment=(CFO) The talent base, the customer franchise that we have there, the deposit -- the low-cost deposit base that we have in the countr...",disagreement_other
72,"He will continue to lead the Splunk team through the integration process to ensure a seamless integration into Cisco.Gary's operational mindset, combined with his intense focus on simplicity and proven ability to drive growth position him well in his role, and I look forward to working closely with him in this new capacity.I'd also like to take a moment to Moving back to Q3, let me briefly summarize.","He will continue to lead the Splunk team through the integration process to ensure a seamless integration into Cisco.Gary's operational mindset, combined with his intense focus ...",growth,growth,neutral,positive,54.7541,50.0,UP,MEDIUM,44,"Signal=neutral, dominant_intent=EXPANSION, counts={'EXPANSION': 1, 'GENERAL_UPDATE': 1}, first_segment=(CEO) He will continue to lead the Splunk team through the integration process to ensure a seamless integration into Cisco. Gary's op...",finbert_correct_ours_wrong
74,"Total net revenue climbed 18% to $2.2 billion, with comparable sales up by 13% and a notable 44% growth in accessories.","Total net revenue climbed 18% to $2.2 billion, with comparable sales up by 13% and a notable 44% growth in accessories.",growth,growth,neutral,positive,95.741,100.0,UP,LOW,44,"Signal=neutral, dominant_intent=EXPANSION, counts={'EXPANSION': 1}, first_segment=(CEO) Total net revenue climbed 18% to $2. 2 billion, with comparable sales up by 13% and a notable 44% growth in accessories.",finbert_correct_ours_wrong
76,"Digital Experience subscription revenue was $817 million, representing 25% year-over-year growth.On the heels of Adobe Summit, we had success in Q2 generating pipeline and closing strategic customer deals across our portfolio of customer experience management or CXM solutions.","Digital Experience subscription revenue was $817 million, representing 25% year-over-year growth.On the heels of Adobe Summit, we had success in Q2 generating pipeline and closi...",growth,growth,neutral,positive,95.0119,100.0,UP,LOW,44,"Signal=neutral, dominant_intent=EXPANSION, counts={'EXPANSION': 1}, first_segment=(CEO) Digital Experience subscription revenue was $817 million, representing 25% year-over-year growth. On the heels of Adobe Summit,...",finbert_correct_ours_wrong
81,"I think, Bill, you saw over the last 12 months that the cost did increase in our business, and we talked about that really being the cost attributed to us scaling up the business ahead of the next round of flagships, A, from a fundraising perspective, and B, from a deployment perspective.","I think, Bill, you saw over the last 12 months that the cost did increase in our business, and we talked about that really being the cost attributed to us scaling up the busines...",growth,growth,neutral,positive,55.9709,100.0,NEUTRAL,LOW,48,"Signal=neutral, dominant_intent=COST_PRESSURE, counts={'COST_PRESSURE': 1}, first_segment=(CFO) I think, Bill, you saw over the last 12 months that the cost did increase in our business, and we talked about that really bein...",finbert_correct_ours_wrong
82,"Compared to Q3, the earnings improvement was driven by lower provision expense, as we released $828 million in reserves, nearly offsetting net charge-offs, which also declined.Also benefiting earnings, expenses declined $474 million from Q3 on lower litigation costs, and NII moved from the Q3 trough.","Compared to Q3, the earnings improvement was driven by lower provision expense, as we released $828 million in reserves, nearly offsetting net charge-offs, which also declined.A...",risk,risk,neutral,negative,79.4928,100.0,NEUTRAL,LOW,51,"Signal=neutral, dominant_intent=COST_PRESSURE, counts={'COST_PRESSURE': 2}, first_segment=(CFO) Compared to Q3, the earnings improvement was driven by lower provision expense, as we released $828 million in reserves, nearly...",finbert_correct_ours_wrong
83,"And I know the comparison as you started paying for air freight last year helps.So, I just want to make sure I heard that because it sounded like to Lorraine you were saying maybe it would take quite some time to get back some of the air cost -- air freight costs.And then, Calvin, I guess, bigger picture, one thing that jumps out here is the e-commerce business actually accelerating versus the prior quarter on a three-year basis.","And I know the comparison as you started paying for air freight last year helps.So, I just want to make sure I heard that because it sounded like to Lorraine you were saying may...",risk,growth,neutral,positive,67.3507,50.0,VOLATILE,HIGH,47,"Signal=neutral, dominant_intent=COST_PRESSURE, counts={'COST_PRESSURE': 1, 'EXPANSION': 1}, first_segment=(CFO) And I know the comparison as you started paying for air freight last year helps. So, I just want to make sure I heard that beca...",disagreement_other
86,"When combined with cost increases, we are seeing from many of our suppliers, these factors are putting pressure on our gross margins.","When combined with cost increases, we are seeing from many of our suppliers, these factors are putting pressure on our gross margins.",growth,risk,neutral,negative,95.931,100.0,NEUTRAL,LOW,48,"Signal=neutral, dominant_intent=COST_PRESSURE, counts={'COST_PRESSURE': 1}, first_segment=(CFO) When combined with cost increases, we are seeing from many of our suppliers, these factors are putting pressure on our gross ma...",disagreement_other
87,"Our free cash flow for the quarter was $508 million, which is 64% higher than Q1 2017.Cash flow in the quarter benefited from increased merchant transactions of booking.com, which have a favorable working capital impact.","Our free cash flow for the quarter was $508 million, which is 64% higher than Q1 2017.Cash flow in the quarter benefited from increased merchant transactions of booking.com, whi...",growth,growth,neutral,positive,95.7702,50.0,UP,MEDIUM,44,"Signal=neutral, dominant_intent=EXPANSION, counts={'EXPANSION': 1, 'GENERAL_UPDATE': 1}, first_segment=(CFO) Our free cash flow for the quarter was $508 million, which is 64% higher than Q1 2017. Cash flow in the quarter benefited from ...",finbert_correct_ours_wrong
88,"And as a consequence of FX, as you can see, both North and South America had lower net sales despite increases of vehicle deliveries of over 20% and close to 15%, respectively.","And as a consequence of FX, as you can see, both North and South America had lower net sales despite increases of vehicle deliveries of over 20% and close to 15%, respectively.",growth,risk,neutral,negative,95.4939,100.0,UP,LOW,44,"Signal=neutral, dominant_intent=EXPANSION, counts={'EXPANSION': 1}, first_segment=(EXECUTIVE) And as a consequence of FX, as you can see, both North and South America had lower net sales despite increases of vehicle deliv...",disagreement_other
89,We expect revenue growth to be in the range of 4% to 6% year-over-year.,We expect revenue growth to be in the range of 4% to 6% year-over-year.,growth,growth,neutral,positive,92.7436,100.0,UP,LOW,44,"Signal=neutral, dominant_intent=EXPANSION, counts={'EXPANSION': 1}, first_segment=(CEO) We expect revenue growth to be in the range of 4% to 6% year-over-year.",finbert_correct_ours_wrong
92,"So in the Investment Bank, we are actually absolutely in line with our cost targets.","So in the Investment Bank, we are actually absolutely in line with our cost targets.",risk,growth,neutral,positive,75.0797,100.0,NEUTRAL,LOW,48,"Signal=neutral, dominant_intent=COST_PRESSURE, counts={'COST_PRESSURE': 1}, first_segment=(CFO) So in the Investment Bank, we are actually absolutely in line with our cost targets.",disagreement_other
96,"The EMEA region had a modest growth of 2%, thanks to public service and life sciences sectors, while growth markets excelled with a 9% increase driven by banking, software platforms, and industrial sectors, primarily in Argentina and Japan.Detailed Financial PerformanceThe gross margin was very stable at 32.5%, slightly up from the previous year's 32.4%.","The EMEA region had a modest growth of 2%, thanks to public service and life sciences sectors, while growth markets excelled with a 9% increase driven by banking, software platf...",growth,growth,neutral,positive,96.0304,50.0,VOLATILE,HIGH,47,"Signal=neutral, dominant_intent=EXPANSION, counts={'EXPANSION': 1, 'COST_PRESSURE': 1}, first_segment=(CEO) The EMEA region had a modest growth of 2%, thanks to public service and life sciences sectors, while growth markets excelled wi...",finbert_correct_ours_wrong
97,Desktop CPU revenue grew by a strong double-digit percentage year-over-year and sequentially driven by strong demand for our Ryzen processor family in both OEM systems and the channel.,Desktop CPU revenue grew by a strong double-digit percentage year-over-year and sequentially driven by strong demand for our Ryzen processor family in both OEM systems and the c...,growth,growth,neutral,positive,95.1446,100.0,UP,LOW,44,"Signal=neutral, dominant_intent=EXPANSION, counts={'EXPANSION': 1}, first_segment=(CEO) Desktop CPU revenue grew by a strong double-digit percentage year-over-year and sequentially driven by strong demand for our Ry...",finbert_correct_ours_wrong
100,This decrease of 21.9% from the previous year reflects higher interest rates in general and the price increases associated with them.,This decrease of 21.9% from the previous year reflects higher interest rates in general and the price increases associated with them.,growth,risk,neutral,negative,85.4813,100.0,UP,LOW,44,"Signal=neutral, dominant_intent=EXPANSION, counts={'EXPANSION': 1}, first_segment=(EXECUTIVE) This decrease of 21. 9% from the previous year reflects higher interest rates in general and the price increases associated wit...",disagreement_other
101,"It should improve versus 2020 levels to around 380 basis points, but now clearly with a positive bias.","It should improve versus 2020 levels to around 380 basis points, but now clearly with a positive bias.",neutral,growth,neutral,positive,95.328,100.0,NEUTRAL,LOW,45,"Signal=neutral, dominant_intent=GENERAL_UPDATE, counts={'GENERAL_UPDATE': 1}, first_segment=(EXECUTIVE) It should improve versus 2020 levels to around 380 basis points, but now clearly with a positive bias.",ours_correct_finbert_wrong
105,"And then if the situation improves, you will see an even better rebound in the second part of the year because, in theory, this V-shape is to happen, you will have the double benefit of the revenue recovery and the cost measures having a larger impact.","And then if the situation improves, you will see an even better rebound in the second part of the year because, in theory, this V-shape is to happen, you will have the double be...",risk,growth,neutral,positive,93.0714,100.0,NEUTRAL,LOW,48,"Signal=neutral, dominant_intent=COST_PRESSURE, counts={'COST_PRESSURE': 1}, first_segment=(CFO) And then if the situation improves, you will see an even better rebound in the second part of the year because, in theory, this...",disagreement_other
107,"However, strong revenue momentum in our core businesses continues to support our revenue guidance of EUR 26 billion to EUR 27 billion for 2022.And in our view, our first quarter results built a strong foundation to achieve this.","However, strong revenue momentum in our core businesses continues to support our revenue guidance of EUR 26 billion to EUR 27 billion for 2022.And in our view, our first quarter...",growth,growth,neutral,positive,95.4068,100.0,UP,LOW,43,"Signal=neutral, dominant_intent=EXPANSION, counts={'EXPANSION': 2}, first_segment=(ANALYST) However, strong revenue momentum in our core businesses continues to support our revenue guidance of EUR 26 billion to EUR 27 b...",finbert_correct_ours_wrong
108,"In line with our previous guidance, we saw a decrease in our CET1 ratio to 13.2%, which was mainly driven by regulatory items, notably the impact of the final Targeted Review of Internal Models assessments, partially offset by net income generated in the second quarter.Leverage ratio has increased to 4.8%, up 15 basis points compared to the previous quarter.","In line with our previous guidance, we saw a decrease in our CET1 ratio to 13.2%, which was mainly driven by regulatory items, notably the impact of the final Targeted Review of...",growth,growth,neutral,positive,91.8731,100.0,UP,LOW,43,"Signal=neutral, dominant_intent=EXPANSION, counts={'EXPANSION': 2}, first_segment=(CEO) In line with our previous guidance, we saw a decrease in our CET1 ratio to 13. 2%, which was mainly driven by regulatory items,...",finbert_correct_ours_wrong
