index,text,text_snippet,ground_truth_signal,finbert_signal,our_signal,finbert_sentiment,finbert_confidence,our_confidence,our_prediction,our_volatility,our_score,our_explanation,case_type
162,"And lastly, we are strengthening our commitment to sustainability, helping our clients transition towards a more sustainable future, using this also as a business opportunity, business opportunity.","And lastly, we are strengthening our commitment to sustainability, helping our clients transition towards a more sustainable future, using this also as a business opportunity, b...",neutral,growth,neutral,positive,87.7301,100.0,NEUTRAL,LOW,45,"Signal=neutral, dominant_intent=GENERAL_UPDATE, counts={'GENERAL_UPDATE': 1}, first_segment=(EXECUTIVE) And lastly, we are strengthening our commitment to sustainability, helping our clients transition towards a more sustainable fu...",ours_correct_finbert_wrong
164,It's a huge advantage and I think we're leveraging that.,It's a huge advantage and I think we're leveraging that.,neutral,growth,neutral,positive,83.8829,100.0,NEUTRAL,LOW,45,"Signal=neutral, dominant_intent=GENERAL_UPDATE, counts={'GENERAL_UPDATE': 1}, first_segment=(EXECUTIVE) It's a huge advantage and I think we're leveraging that.",ours_correct_finbert_wrong
175,And whether you still think the 8% margin target for 2021 is feasible here because it's quite a step-up from the current run rate.,And whether you still think the 8% margin target for 2021 is feasible here because it's quite a step-up from the current run rate.,neutral,growth,neutral,positive,89.6338,100.0,NEUTRAL,LOW,48,"Signal=neutral, dominant_intent=COST_PRESSURE, counts={'COST_PRESSURE': 1}, first_segment=(CFO) And whether you still think the 8% margin target for 2021 is feasible here because it's quite a step-up from the current run rate.",ours_correct_finbert_wrong
205,"And with the renewed public health emergency from the Biden administration on yesterday, we still feel very good about that time line.With that said, we continue to work very closely with our state partners and our members, helping them understand reverifications, what it means.","And with the renewed public health emergency from the Biden administration on yesterday, we still feel very good about that time line.With that said, we continue to work very cl...",neutral,growth,neutral,positive,67.5282,50.0,NEUTRAL,MEDIUM,46,"Signal=neutral, dominant_intent=GENERAL_UPDATE, counts={'GENERAL_UPDATE': 1, 'STRATEGIC_PROBING': 1}, first_segment=(EXECUTIVE) And with the renewed public health emergency from the Biden administration on yesterday, we still feel very good about that tim...",ours_correct_finbert_wrong
213,"And for the full year, revenue grew 42% versus 2020 and 25% on a 2-year CAGR basis, an impressive performance by any benchmark with strength across our products, channels and geographies.","And for the full year, revenue grew 42% versus 2020 and 25% on a 2-year CAGR basis, an impressive performance by any benchmark with strength across our products, channels and ge...",neutral,growth,neutral,positive,95.6414,100.0,UP,LOW,44,"Signal=neutral, dominant_intent=EXPANSION, counts={'EXPANSION': 1}, first_segment=(CEO) And for the full year, revenue grew 42% versus 2020 and 25% on a 2-year CAGR basis, an impressive performance by any benchmark ...",ours_correct_finbert_wrong
220,"We're effectively investing those fees and the duration of the customer base, the length of customer base, the profitability of the customer base, the stability of the customer base and the fact that then we can net produce a lot more customers because we're not having to replace a runoff.And so as you see so many fee lines, same with [NSS FOD] by doing what we've done the attrition rate has obviously dropped to the floor and you're seeing more production of that accounts there.","We're effectively investing those fees and the duration of the customer base, the length of customer base, the profitability of the customer base, the stability of the customer ...",neutral,risk,neutral,negative,82.784,50.0,NEUTRAL,MEDIUM,46,"Signal=neutral, dominant_intent=GENERAL_UPDATE, counts={'GENERAL_UPDATE': 1, 'STRATEGIC_PROBING': 1}, first_segment=(EXECUTIVE) We're effectively investing those fees and the duration of the customer base, the length of customer base, the profitability of...",ours_correct_finbert_wrong
222,"And in this regard, good preparedness, high level of attention on the corporate side, and in my view a first class portfolio on the Deutsche Bank side, and that makes me confident.","And in this regard, good preparedness, high level of attention on the corporate side, and in my view a first class portfolio on the Deutsche Bank side, and that makes me confident.",neutral,growth,neutral,positive,76.4111,100.0,NEUTRAL,LOW,45,"Signal=neutral, dominant_intent=GENERAL_UPDATE, counts={'GENERAL_UPDATE': 1}, first_segment=(EXECUTIVE) And in this regard, good preparedness, high level of attention on the corporate side, and in my view a first class portfolio on...",ours_correct_finbert_wrong
223,"So, lots of good engagements going on with customers overall, and I think the key is to be able to have the right IP building blocks.","So, lots of good engagements going on with customers overall, and I think the key is to be able to have the right IP building blocks.",neutral,growth,neutral,positive,85.3043,100.0,NEUTRAL,LOW,45,"Signal=neutral, dominant_intent=GENERAL_UPDATE, counts={'GENERAL_UPDATE': 1}, first_segment=(EXECUTIVE) So, lots of good engagements going on with customers overall, and I think the key is to be able to have the right IP building b...",ours_correct_finbert_wrong
230,"First of all, as I said, the pilot has gone well.","First of all, as I said, the pilot has gone well.",neutral,growth,neutral,positive,49.3776,100.0,NEUTRAL,LOW,45,"Signal=neutral, dominant_intent=GENERAL_UPDATE, counts={'GENERAL_UPDATE': 1}, first_segment=(EXECUTIVE) First of all, as I said, the pilot has gone well.",ours_correct_finbert_wrong
237,"ADR was up 1%, and even the U.S. and Canada leisure RevPAR was up 1%.","ADR was up 1%, and even the U.S. and Canada leisure RevPAR was up 1%.",neutral,growth,neutral,positive,94.0346,100.0,NEUTRAL,LOW,45,"Signal=neutral, dominant_intent=GENERAL_UPDATE, counts={'GENERAL_UPDATE': 1}, first_segment=(EXECUTIVE) ADR was up 1%, and even the U. S. and Canada leisure RevPAR was up 1%.",ours_correct_finbert_wrong
